324,ARPCOMBO ,5,ARP+SUITC1 
325,ARPCOMBO ,6,ARP+SUITC2 
326,ARPCOMBO ,7,ARP+C.PAD 
327,ARPCOMBO ,8,ARP+TOTOSH 
328,ARPCOMBO ,9,ARP+CLAV2 
329,ARPCOMBO ,10,ARP+LAMBDA 
330,ARPCOMBO ,11,ARP+STLDRM 
331,ARPCOMBO ,12,ARP+TOOHOL 
332,ARPCOMBO ,13,ARP+STRPAD 
333,ARPCOMBO ,14,ARP+BRSSEC 
334,ARPCOMBO ,15,ARP+ANALOG 
335,ARPCOMBO ,16,ARP+ITSELF 
336,ARPCOMBO ,17,ARP+MELLOL 
337,ARPCOMBO ,18,ARP+LAMBD2 
338,ARPCOMBO ,19,ARP+BOWVIO 
339,ARPCOMBO ,20,ARP+2600 
340,ARPCOMBO ,21,ARP+BELLRS 
341,ARPCOMBO ,22,ARP+BELL56 
342,ARPCOMBO ,23,ARP+BELL12 
343,ARPCOMBO ,24,ARP+BIZZ 
344,ARPCOMBO ,25,ARP+BUZZRS 
345,ARPCOMBO ,26,ARP+WC 1-2 
346,ARPCOMBO ,27,ARP+WC 4-5 
347,ARPCOMBO ,28,ARP+CHOIR1 
348,ARPCOMBO ,29,ARP+CHOIR2 
349,ARPCOMBO ,30,ARP+MODLR! 
350,ARPCOMBO ,31,ARP+POWER 
351,ARPCOMBO ,32,ARP+FATLD 
352,BANGERS ,1,S 
353,BANGERS ,2,
354,BANGERS ,3,
355,BANGERS ,4,1CLAV 4 
356,BANGERS ,5,
357,BANGERS ,6,
358,BANGERS ,7,
359,BANGERS ,8,COW BELL 
360,BANGERS ,9,COW BELL 
361,BANGERS ,10,(STL DRUM 
362,BANGERS ,11,(STL DRUM 
363,BANGERS ,12,1SYNDRUM 
364,BANGERS ,13,1SYNDRUM 
365,BANGERS ,14,$TIMBALI 
366,BANGERS ,15,TIMPANI 
367,BANGERS ,16,1TAMBOURI 
368,BANGERS ,17,
369,BANGERS ,18,
370,BANGERS ,19,
371,BANGERS ,20,
372,BANGERS ,21,
373,BANGERS ,22,
374,BANGERS ,23,
375,BANGERS ,24,1
376,BANGERS ,25,1
377,BANGERS ,26,1
378,BANGERS ,27,1
379,BANGERS ,28,1
380,BANGERS ,29,1
381,BANGERS ,30,1
382,BANGERS ,31,1
383,BANGERS ,32,1
384,BANKNO1 ,1,BEATMEHRDR 
385,BANKNO1 ,2,HI STRINGS 
386,BANKNO1 ,3,TRUMPET A 
387,BANKNO1 ,4,{KC EPCH}\ 
388,BANKNO1 ,5,ELEC.PNO A 
389,BANKNO1 ,6,E.ORGAN A 
390,BANKNO1 ,7,BSEPIANO1\ 
391,BANKNO1 ,8,FATSYNTH A 
392,BANKNO1 ,9,BSEPIANO1\ 
393,BANKNO1 ,10,CELLOS A 
394,BANKNO1 ,11,A.MALLET A 
395,BANKNO1 ,12,KC EPSAW \ 
396,BANKNO1 ,13,SAMS GRAND 
397,BANKNO1 ,14,SYN-RISE A 
398,BANKNO1 ,15,CIRRUS 
399,BANKNO1 ,16,TINE E.PNO 
400,BANKNO1 ,17,CHORSORG1\ 
401,BANKNO1 ,18,GRINDER 4\ 
402,BANKNO1 ,19,KCEPDSTRT\ 
403,BANKNO1 ,20,E.GUITAR A 
404,BANKNO1 ,21,E.BASS A 
405,BANKNO1 ,22,HARPSI. A 
406,BANKNO1 ,23,VIBES A 
407,BANKNO1 ,24,TINEOUT 1\ 
408,BANKNO1 ,25,FM PIANO A 
